 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
5149;* E Hya                            ;PM*;14 50 17.3082918816 -27 57 37.300431780;10.8024   ;4.41     
5150;HD 131919                          ;*  ;14 57 13.7086281960 -29 09 27.637799004;6.2476    ;6.283    
5151;HD 131117                          ;PM*;14 52 33.1012211690 -30 34 38.121763140;25.9443   ;6.29     
5152;HD 131774                          ;*  ;14 56 30.8665972896 -32 38 12.421784688;4.9845    ;6.058    
5153;HD 131432                          ;*  ;14 54 37.9141813344 -33 18 02.053069128;2.3013    ;5.834    
5154;HD 131625                          ;*  ;14 55 44.7084250488 -33 51 20.817083448;12.9287   ;5.312    
5155;HD 132763                          ;*  ;15 01 58.0822158744 -34 21 31.956093144;7.6420    ;6.208    
5156;HD 134837                          ;*  ;15 13 07.6617482160 -36 05 29.109491844;7.3863    ;6.079    
5157;* phi01 Lup                        ;PM*;15 21 48.3695971307 -36 15 40.943845073;11.6616   ;3.546    
5158;HD 136014                          ;PM*;15 19 31.7208685704 -37 05 49.778326068;8.4262    ;6.178    
5159;* phi02 Lup                        ;*  ;15 23 09.3506362429 -36 51 30.557900083;6.4855    ;4.54     
5160;HD 137432                          ;SB*;15 27 18.1304610624 -36 46 03.214731900;7.0297    ;5.45     
5161;* h Lup                            ;PM*;15 42 38.3165019600 -37 25 29.781164856;12.1907   ;5.240    
5162;HD 139271                          ;*  ;15 38 42.1803372504 -39 07 39.884184588;8.1240    ;6.041    
5163;HD 140901                          ;PM*;15 47 29.1010163043 -37 54 58.722921986;65.5889   ;6.01     
5164;HD 142448                          ;*  ;15 56 06.8383263792 -39 51 51.708250800;5.9798    ;6.028    
5165;* eta Lup                          ;bC?;16 00 07.3279160436 -38 23 48.138224969;7.5942    ;3.41     
5166;HD 143699                          ;*  ;16 03 24.1895252119 -38 36 09.141541952;7.4476    ;4.89     
5167;HD 143084                          ;*  ;15 59 57.8419983192 -40 39 11.205906120;1.6386    ;6.488    
5168;HD 143248                          ;*  ;16 00 53.7115120680 -40 26 07.715919516;7.6884    ;6.221    
5169;HD 145191                          ;PM*;16 11 17.7041502024 -41 07 11.287512984;15.4504   ;5.857    
5170;NGC 6124                           ;OpC;16 25 19.7 -40 39 40                   ;1.557     ;5.8      
5171;HD 148688                          ;s*b;16 31 41.7687715992 -41 49 01.732565676;0.7734    ;5.39     
5172;HD 149404                          ;s*b;16 36 22.5628499784 -42 51 31.902127776;0.7601    ;5.52     
5173;HD 150573                          ;*  ;16 43 45.6794064504 -41 07 09.136552764;6.9115    ;6.199    
5174;HD 150591                          ;*  ;16 43 54.0820649376 -41 06 48.038658840;5.7286    ;6.116    
5175;HD 150742                          ;*  ;16 44 42.5926704048 -40 50 22.830249192;5.7534    ;5.628    
5176;HD 151804                          ;s*b;16 51 33.7218052272 -41 13 49.919519496;0.4893    ;5.22     
5177;HD 152235                          ;s*b;16 53 58.8528412848 -41 59 39.577848180;0.5927    ;6.38     
5178;HD 152234                          ;s*b;16 54 01.8373785611 -41 48 22.987399147;0.1599    ;5.45     
5179;HD 152249                          ;s*b;16 54 11.6395658856 -41 50 57.295111524;0.6463    ;6.45     
5180;HD 152424                          ;s*b;16 55 03.3294878112 -42 05 26.990821824;0.6155    ;6.27     
5181;V* V1068 Sco                       ;LP*;16 53 42.4241880264 -43 03 03.488496048;4.2674    ;6.06     
5182;HD 152293                          ;*  ;16 54 26.9426810760 -42 28 44.028544116;2.7362    ;5.839    
5183;* zet02 Sco                        ;PM*;16 54 35.0050319669 -42 21 40.737010682;24.2353   ;3.62     
5184;* zet01 Sco                        ;s*b;16 53 59.7271314888 -42 21 43.307334468;0.5855    ;4.79     
5185;HD 152408                          ;WR*;16 54 58.5051071856 -41 09 03.093075612;0.5417    ;5.77     
5186;HD 152248                          ;Y*O;16 54 10.0618206816 -41 49 30.139291596;0.6917    ;6.088    
5187;HD 154153                          ;*  ;17 05 48.4627188912 -44 06 18.186019740;14.3227   ;6.178    
5188;* eta Sco                          ;PM*;17 12 09.1940948534 -43 14 21.082311424;44.5711   ;3.33     
5189;HD 156293                          ;*  ;17 18 47.8284399264 -44 07 47.087356152;8.9434    ;5.736    
5190;HD 157243                          ;*  ;17 24 13.0784827693 -44 09 45.307992409;4.6451    ;5.108    
5191;HD 158042                          ;*  ;17 29 00.8628224736 -43 58 26.107822812;3.3508    ;6.30     
5192;* tet Sco                          ;*  ;17 37 19.12985 -42 59 52.1808          ;10.86     ;1.85     
5193;HD 159707                          ;*  ;17 38 08.4413671872 -42 52 48.997502112;5.2024    ;6.078    
5194;HD 160928                          ;** ;17 44 42.0095149680 -42 43 45.550054236;13.0531   ;5.871    
5195;HD 163145                          ;*  ;17 56 47.4169480680 -44 20 31.986560220;9.3687    ;4.849    
5196;CD-43 12272                        ;** ;18 06 49.89312 -43 25 30.7964          ;23.90     ;4.95     
5197;CD-43 12272A                       ;PM*;18 06 49.8929258688 -43 25 30.800909676;22.7417   ;5.62     
5198;CD-43 12272B                       ;PM*;18 06 49.9149403848 -43 25 29.097604128;22.6753   ;5.68     
5199;HD 167096                          ;PM*;18 15 53.4521091432 -44 12 23.232159396;14.5746   ;5.451    
5200;HD 167756                          ;s*b;18 18 40.1582045736 -42 17 18.223045728;0.5808    ;6.290    
5201;HD 168905                          ;V* ;18 24 18.2394893016 -44 06 36.918580464;5.5671    ;5.227    
5202;* tet CrA                          ;*  ;18 33 30.1857736368 -42 18 45.029663136;6.1673    ;4.614    
5203;HD 169943                          ;*  ;18 29 12.8718192408 -43 50 45.373441236;7.8675    ;6.350    
5204;HD 170521                          ;*  ;18 31 56.2238197128 -43 30 26.571390372;2.1538    ;5.686    
5205;V* V718 CrA                        ;LP?;18 39 35.1590011992 -43 11 09.169104264;5.1919    ;5.425    
5206;HD 174407                          ;*  ;18 52 11.9384169571 -41 42 33.101257282;4.5379    ;6.45     
5207;* eta01 CrA                        ;*  ;18 48 50.4897478488 -43 40 48.155963880;8.8955    ;5.456    
5208;* eta02 CrA                        ;*  ;18 49 34.9964863680 -43 26 02.752166760;4.2500    ;5.587    
5209;HD 175219                          ;*  ;18 56 16.9512500808 -42 42 38.423132748;10.3847   ;5.346    
5210;HD 175395                          ;*  ;18 57 14.3114065248 -43 55 01.234678440;4.8756    ;6.27     
5211;HD 176425                          ;*  ;19 02 08.5209987912 -41 54 37.826010432;9.1110    ;6.209    
5212;* zet CrA                          ;PM*;19 03 06.8768335825 -42 05 42.380397917;18.2019   ;4.725    
5213;HD 178322                          ;SB*;19 09 57.6520020528 -41 53 32.083602864;2.104     ;5.855    
5214;HD 181401                          ;PM*;19 22 09.5278706664 -42 00 57.700343628;9.3603    ;6.338    
5215;* alf Sgr                          ;PM*;19 23 53.1753985532 -40 36 57.373929695;18.1088   ;3.943    
5216;V* V4089 Sgr                       ;SB*;19 34 08.4856054632 -40 02 04.702519428;6.5623    ;5.91     
5217;V* V3961 Sgr                       ;a2*;19 51 50.6106718344 -39 52 27.738309468;10.3412   ;5.33     
5218;HD 189831                          ;PM*;20 03 33.4666224840 -37 56 26.465857980;8.1867    ;4.764    
5219;HD 197649                          ;SB*;20 46 18.6065969712 -36 07 12.550175472;15.5265   ;6.481    
5220;* alf Mic                          ;*  ;20 49 58.0810451616 -33 46 46.934378400;8.2508    ;4.890    
5221;HD 132955                          ;Pu*;15 02 59.2764966384 -32 38 35.849039748;6.8168    ;5.437    
5222;V* HZ Lup                          ;a2*;15 06 33.1978166352 -30 55 06.533677056;8.1540    ;5.977    
5223;* psi01 Lup                        ;*  ;15 39 45.9793075992 -34 24 42.914876364;14.7317   ;4.661    
5224;* psi02 Lup                        ;SB*;15 42 41.0197420380 -34 42 37.467073334;7.7491    ;4.721    
5225;HD 140784                          ;** ;15 46 44.2174303104 -34 40 56.830010556;8.178     ;5.600    
5226;HD 142889                          ;*  ;15 58 30.7967302368 -37 30 13.978605204;11.5577   ;6.307    
5227;HD 142691                          ;** ;15 57 21.3260245807 -36 11 07.241742588;2.3723    ;5.83     
5228;* tet Lup                          ;Pu*;16 06 35.5439828160 -36 48 08.173906632;7.3685    ;4.201    
5229;HD 144415                          ;PM*;16 07 16.2193673808 -36 45 20.278307556;15.2907   ;5.700    
5230;HD 143928                          ;PM*;16 04 36.8156250336 -37 51 46.612830060;24.5249   ;5.901    
5231;HD 146954                          ;*  ;16 20 32.6174655792 -39 25 49.233117432;6.9339    ;6.102    
5232;HD 148247                          ;RG*;16 28 14.4703648584 -37 10 47.578336068;8.2135    ;5.790    
5233;HD 147628                          ;** ;16 24 31.7543889048 -37 33 57.760482924;7.6536    ;5.42     
5234;HD 147513                          ;PM*;16 24 01.2911377368 -39 11 34.729913940;77.5655   ;5.376    
5235;HD 150608                          ;*  ;16 43 47.5992656976 -38 09 22.838437908;2.8136    ;6.046    
5236;HD 151078                          ;RG*;16 46 47.9579454936 -39 22 37.071076188;11.3351   ;5.481    
5237;V* V911 Sco                        ;a2*;16 52 27.4149431256 -40 43 23.358090648;5.7153    ;6.315    
5238;V* V861 Sco                        ;SB*;16 56 35.9776521336 -40 49 24.443276592;0.6577    ;6.22     
5239;HD 155276                          ;PM*;17 12 16.5647337168 -38 49 21.133854012;8.1923    ;6.285    
5240;HD 155259                          ;PM*;17 12 16.2049148880 -39 30 25.016257476;15.6124   ;5.655    
5241;HD 155603                          ;s*r;17 14 27.6550817184 -39 45 59.937755508;0.5485    ;6.44     
5242;HD 158799                          ;*  ;17 33 07.3890992688 -41 10 23.035778040;1.5943    ;5.838    
5243;* iot01 Sco                        ;s*y;17 47 35.0794702956 -40 07 37.190504381;1.4177    ;2.992    
5244;* iot02 Sco                        ;*  ;17 50 11.1117941496 -40 05 25.554554736;0.8148    ;4.803    
5245;HD 162189                          ;PM*;17 51 32.5316991288 -40 46 20.872921980;4.8277    ;5.958    
5246;HD 163234                          ;*  ;17 56 55.9037413632 -40 18 20.308940280;5.7912    ;6.447    
5247;HD 162396                          ;PM*;17 52 52.5830170920 -41 59 47.486766588;31.3282   ;6.20     
5248;HD 163376                          ;V* ;17 57 47.8025082499 -41 42 58.655766790;5.7411    ;4.863    
5249;HD 166114                          ;*  ;18 11 05.5628156880 -41 21 32.814185004;12.3631   ;5.845    
5250;V* V692 CrA                        ;Ro*;18 13 12.6984255264 -41 20 09.997218708;1.7423    ;5.462    
5251;HD 170642                          ;*  ;18 32 21.3310764544 -39 42 14.402758830;14.5721   ;5.155    
5252;HD 170773                          ;PM*;18 33 00.9167301456 -39 53 31.275122964;27.0749   ;6.217    
5253;HD 170384                          ;*  ;18 31 02.9487669600 -41 54 49.802581872;14.2387   ;6.018    
5254;HD 172991                          ;*  ;18 44 57.1522814304 -39 41 10.278114576;2.6806    ;5.439    
5255;* mu. CrA                          ;*  ;18 47 44.6177345928 -40 24 22.197417912;8.4545    ;5.217    
5256;HD 174152                          ;*  ;18 50 58.6516120512 -41 03 45.704111760;2.1672    ;6.49     
5257;HD 175529                          ;*  ;18 57 34.3957961784 -39 49 23.501805888;14.6074   ;6.284    
5258;HD 175855                          ;*  ;18 59 10.9642991832 -39 32 04.963727652;5.8918    ;6.497    
5259;* bet CrA                          ;*  ;19 10 01.7567255066 -39 20 26.853667665;5.8645    ;4.095    
5260;HD 178254                          ;*  ;19 09 39.7567296288 -39 49 38.049922236;7.3484    ;6.435    
5261;* del CrA                          ;PM*;19 08 20.9696916432 -40 29 48.112728468;17.6582   ;4.571    
5262;HD 189195                          ;*  ;20 00 15.9329086049 -37 42 06.201377039;8.6777    ;5.948    
5263;HD 191408                          ;PM*;20 11 11.9387690214 -36 06 04.351725607;166.3272  ;5.32     
5264;V* V4434 Sgr                       ;LP*;20 16 23.6109229728 -36 27 12.867073092;2.9809    ;6.40     
5265;HD 193302                          ;*  ;20 20 51.8968314792 -35 40 25.231021140;7.1019    ;6.463    
5266;HD 196737                          ;RG*;20 40 19.8279224592 -33 25 54.646146624;13.5581   ;5.466    
5267;HD 198356                          ;PM*;20 50 47.1483677880 -32 03 16.577035596;4.8967    ;6.405    
5268;* bet Mic                          ;*  ;20 51 58.7618484144 -33 10 40.705101516;6.5022    ;6.055    
5269;* 60 Hya                           ;PM*;15 02 06.4331233344 -28 03 38.207074932;8.6270    ;5.824    
5270;HD 133469                          ;PM*;15 05 33.9053182104 -30 33 03.106333836;28.457    ;6.48     
5271;* f Lup                            ;V* ;15 17 49.8375758654 -30 08 55.199278828;8.2856    ;4.33     
5272;HD 135896                          ;*  ;15 18 41.3020685976 -31 12 33.659786880;2.4985    ;6.194    
5273;* i Lup                            ;*  ;15 14 37.3198417440 -31 31 08.845840812;1.5243    ;4.918    
5274;HD 138221                          ;*  ;15 31 50.2295015376 -32 52 52.015213236;6.1098    ;6.488    
5275;HD 138923                          ;** ;15 36 11.3631250416 -33 05 34.094759028;7.3998    ;6.251    
5276;* chi Lup                          ;SB*;15 50 57.5453432166 -33 37 37.728345509;15.9039   ;3.946    
5277;* ksi02 Lup                        ;*  ;15 56 54.1128088176 -33 57 51.338030580;15.5015   ;5.55     
5278;* ksi01 Lup                        ;*  ;15 56 53.4896401128 -33 57 58.013116056;15.0230   ;5.08     
5279;HD 143902                          ;*  ;16 04 17.8183977480 -33 12 49.372469208;7.7133    ;6.086    
5280;HD 144987                          ;PM*;16 09 52.5898714152 -33 32 44.903550228;8.115     ;5.497    
5281;* N Sco                            ;V* ;16 31 22.9344803220 -34 42 15.725494158;5.4821    ;4.23     
5282;* H Sco                            ;V* ;16 36 22.4715031529 -35 15 19.193081688;10.3453   ;4.156    
5283;HD 149886                          ;** ;16 39 05.2266008424 -37 13 02.553774384;6.8834    ;5.914    
5284;* mu.02 Sco                        ;bC?;16 52 20.1453198 -38 01 03.125839      ;5.6632    ;3.542    
5285;* mu.01 Sco                        ;Be*;16 51 52.2283548696 -38 02 50.638070400;1.8732    ;2.98     
5286;HD 153368                          ;HB*;17 00 36.9893848320 -35 56 02.883388272;9.2473    ;5.934    
5287;HD 153072                          ;** ;16 58 52.2672622269 -37 37 13.774263261;9.1462    ;6.048    
5288;HD 154310                          ;*  ;17 06 20.1895074456 -37 13 39.330455520;7.0956    ;5.98     
5289;V* V923 Sco                        ;SB*;17 03 50.9415687600 -38 09 09.259137216;16.1648   ;5.902    
5290;HD 155826                          ;** ;17 15 35.9021317723 -38 35 38.168900773;30.4039   ;5.95     
5291;HD 157038                          ;s*b;17 22 39.2179927464 -37 48 16.699933296;0.4259    ;6.44     
5292;HD 157097                          ;*  ;17 22 54.7490787120 -37 13 14.839562316;8.9463    ;5.914    
5293;HD 158105                          ;** ;17 28 56.0893272024 -36 46 41.809637784;4.9851    ;5.985    
5294;* ups Sco                          ;*  ;17 30 45.8371228 -37 17 44.928511      ;5.66      ;2.65     
5295;HD 159312                          ;*  ;17 35 43.0769582448 -37 26 23.535249540;8.9116    ;6.463    
5296;HD 159633                          ;*  ;17 37 26.9188791048 -38 03 58.915673100;1.1469    ;6.27     
5297;* Q Sco                            ;PM*;17 36 32.8551435432 -38 38 06.891848556;20.6922   ;4.267    
